capital,latitud,longitud
Cdad. de Bs. As.,-34.560063,-58.390526
Córdoba,-31.4135,-64.18105
Corrientes,-27.483745,-58.812996
Formosa,-26.181290,-58.190586
La Plata,-34.920879,-57.954325
La Rioja,-29.416018,-66.872266
Mendoza,-32.89084,-68.82717
Neuquen,-38.948093,-68.077644
Paraná,-31.735547,-60.524664
Posadas,-27.382250,-55.920130
Rawson,-43.298843,-65.092815
Resistencia,-27.426056,-58.988848
Río Gallegos,-51.627644,-69.242917
S.F.d.V.d. Catamarca,28.470552,-65.785805
S.M. de Tucumán,-26.82414,-65.2226
S.S. de Jujuy,-24.192795,-65.298883
Salta,-24.793299,-65.413140
San Juan,-31.539365,-68.534052
San Luis,-33.296430,-66.320661
Santa Fe,-31.630437,-60.705592
Santa Rosa,-36.619642,-64.285102
Sgo. del Estero,-27.803519,-64.268081
Ushuaia,-54.818685,-68.329005
Viedma,-40.815130,-62.995335
